Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-05-27 00:00:00+05:30,656.5849859034354,660.8536694840453,651.7206340103675,654.649169921875,4223074,0.0,0.0
2025-05-28 00:00:00+05:30,654.6491619739071,657.1805856463759,643.1832590403849,645.2183227539062,3546275,0.0,0.0
2025-05-29 00:00:00+05:30,645.2183204583824,648.7920879137631,640.4035925192329,645.2679443359375,4545776,0.0,0.0
2025-05-30 00:00:00+05:30,643.0839440852827,646.1614121536194,627.547913884378,628.8880615234375,9054009,0.0,0.0
2025-06-02 00:00:00+05:30,624.3711817726926,631.1216648507312,613.5008869488823,626.5054931640625,8397065,0.0,0.0
2025-06-03 00:00:00+05:30,631.3698664798012,636.2342183037862,625.0164347820432,627.3989868164062,3783426,0.0,0.0
2025-06-04 00:00:00+05:30,629.4836873770846,636.2342314166376,626.0588520694724,631.220947265625,3066925,0.0,0.0
2025-06-05 00:00:00+05:30,633.3553187601143,636.7305907766671,628.8880790509912,632.6107788085938,3565664,0.0,0.0
2025-06-06 00:00:00+05:30,632.6107591134032,646.5088377757612,630.476387082501,645.4168701171875,5492102,0.0,0.0
2025-06-09 00:00:00+05:30,648.6431807443297,649.8343961036509,644.5233690891065,646.0620727539062,2822003,0.0,0.0
2025-06-10 00:00:00+05:30,649.0402654311895,658.6696606821587,647.4023139331907,653.55712890625,5693888,0.0,0.0
2025-06-11 00:00:00+05:30,655.6914567643897,658.074008625596,649.3380255283802,650.4300537109375,3928464,0.0,0.0
2025-06-12 00:00:00+05:30,651.224217040476,656.9323561380106,643.481014382852,646.3102416992188,6539340,0.0,0.0
2025-06-13 00:00:00+05:30,630.37714125892,643.2825000563467,630.37714125892,637.1276245117188,4543933,0.0,0.0
2025-06-16 00:00:00+05:30,637.1275858833874,646.3102444709759,631.3698228871697,644.8707885742188,3422978,0.0,0.0
2025-06-17 00:00:00+05:30,644.4241568299453,645.6650567232551,632.9581933431112,637.0283813476562,4199339,0.0,0.0
2025-06-18 00:00:00+05:30,633.3552667095037,644.1759373519938,633.3552667095037,640.6517333984375,3412544,0.0,0.0
2025-06-19 00:00:00+05:30,638.3188591454907,640.006494997008,630.4267242742856,636.6808471679688,4392425,0.0,0.0
2025-06-20 00:00:00+05:30,636.6808697765978,649.7351604139051,633.9508901109931,644.4241333007812,7166880,0.0,0.0
2025-06-23 00:00:00+05:30,639.311610576892,661.1514482052952,635.489663228247,656.5849609375,6080547,0.0,0.0
2025-06-24 00:00:00+05:30,663.9310650966863,669.0932207577878,659.8609376933879,664.5267333984375,5510353,0.0,0.0
2025-06-25 00:00:00+05:30,672.0217351251808,672.0217351251808,663.5836161421546,667.7530517578125,5533268,0.0,0.0
2025-06-26 00:00:00+05:30,669.1924485979032,687.9548786146274,667.802677116806,685.5723266601562,8196123,0.0,0.0
2025-06-27 00:00:00+05:30,689.9403258464356,694.9535491894592,686.3168739995497,692.273193359375,5666934,0.0,0.0
2025-06-30 00:00:00+05:30,694.9039408706432,694.9039408706432,686.4161977110291,687.8059692382812,4919088,0.0,0.0
2025-07-01 00:00:00+05:30,687.35929088612,694.506825775511,679.3678471267395,689.2454223632812,5468762,0.0,0.0
2025-07-02 00:00:00+05:30,690.6352587487968,700.6120818018827,688.6001950360086,693.2659301757812,4566893,0.0,0.0
2025-07-03 00:00:00+05:30,695.8966607861727,702.944947950106,686.7636254451384,687.8059692382812,4216075,0.0,0.0
2025-07-04 00:00:00+05:30,686.9621351667121,695.6484338411466,684.3810877969188,694.35791015625,2680991,0.0,0.0
2025-07-07 00:00:00+05:30,694.3579288041572,694.3579288041572,683.0905218665171,687.0614013671875,2481724,0.0,0.0
2025-07-08 00:00:00+05:30,687.0613826258577,691.2308181059925,678.1269039930595,680.6087036132812,3923236,0.0,0.0
2025-07-09 00:00:00+05:30,686.9621609207103,686.9621609207103,659.2652518726974,669.0435791015625,6703774,0.0,0.0
2025-07-10 00:00:00+05:30,670.0859352049938,674.5531747730271,667.6537593220128,670.1355590820312,3641238,0.0,0.0
2025-07-11 00:00:00+05:30,668.100493366367,671.128276946224,656.7338383818669,666.0654296875,4450346,0.0,0.0
2025-07-14 00:00:00+05:30,666.1150667916003,675.5955299161492,660.1587472673833,661.6478271484375,4338084,0.0,0.0
2025-07-15 00:00:00+05:30,665.1223378035131,669.3413974089831,658.074050698936,665.9661254882812,4815703,0.0,0.0
2025-07-16 00:00:00+05:30,663.1368959739408,665.7179434884117,659.1660163573304,661.89599609375,4497141,0.0,0.0
2025-07-17 00:00:00+05:30,665.1222969740659,673.0640557439056,663.5339694564224,669.63916015625,4022119,0.0,0.0
2025-07-18 00:00:00+05:30,671.5749777902114,674.3545812490079,666.1150186211852,670.9793701171875,3400654,0.0,0.0
2025-07-21 00:00:00+05:30,674.0567828098826,682.1474738796396,674.0567828098826,677.7298583984375,4912558,0.0,0.0
2025-07-22 00:00:00+05:30,678.2262599866204,687.4585431043716,678.2262599866204,685.0263671875,3802270,0.0,0.0
2025-07-23 00:00:00+05:30,686.962191381457,690.933071100425,684.5796393137499,690.3374633789062,3640968,0.0,0.0
2025-07-24 00:00:00+05:30,691.9257818265096,699.2719334452119,686.565070040882,690.5359497070312,4593102,0.0,0.0
2025-07-25 00:00:00+05:30,691.9257547758942,693.7126384376406,682.9416520006251,688.401611328125,5220901,0.0,0.0
2025-07-28 00:00:00+05:30,688.4016087362826,688.8979686732774,677.8291178419679,684.3314208984375,5031797,0.0,0.0
2025-07-29 00:00:00+05:30,681.105116629587,689.9403482026086,680.0131489478948,687.6571044921875,2985507,0.0,0.0
2025-07-30 00:00:00+05:30,684.1329497485343,692.4717606323862,679.8145817884762,683.7854614257812,2829322,0.0,0.0
2025-07-31 00:00:00+05:30,672.1706358807257,687.2599908341853,670.0363243999594,678.0773315429688,6136890,0.0,0.0
2025-08-01 00:00:00+05:30,675.0495274710842,678.3254910009429,665.9661162106992,667.5545043945312,3475656,0.0,0.0
2025-08-04 00:00:00+05:30,671.0786465975764,683.7854490895452,666.9092109354642,682.6934814453125,2286286,0.0,0.0
2025-08-05 00:00:00+05:30,686.9621912465758,686.9621912465758,677.1839241768636,682.0978393554688,3302614,0.0,0.0
2025-08-06 00:00:00+05:30,686.9621682725548,686.9621682725548,678.3751169328223,679.8641967773438,2498667,0.0,0.0
2025-08-07 00:00:00+05:30,676.9356968330054,684.8774557137408,669.440613416662,681.7999877929688,3417324,0.0,0.0
2025-08-08 00:00:00+05:30,684.0,686.4000244140625,669.0499877929688,672.75,3471816,5.0,0.0
2025-08-11 00:00:00+05:30,673.75,683.4500122070312,667.25,672.8499755859375,3235082,0.0,0.0
2025-08-12 00:00:00+05:30,658.0,677.75,657.5,667.0499877929688,12238878,0.0,0.0
2025-08-13 00:00:00+05:30,673.0,704.9500122070312,670.9500122070312,700.5,13151356,0.0,0.0
2025-08-14 00:00:00+05:30,701.0,702.3499755859375,688.0,695.25,4179259,0.0,0.0
2025-08-18 00:00:00+05:30,700.0,719.0,697.0999755859375,714.1500244140625,7211389,0.0,0.0
2025-08-19 00:00:00+05:30,714.0,715.1500244140625,705.5499877929688,706.7000122070312,5641195,0.0,0.0
2025-08-20 00:00:00+05:30,701.0,705.9000244140625,698.0499877929688,700.8499755859375,5358070,0.0,0.0
2025-08-21 00:00:00+05:30,701.0499877929688,709.0,700.5,707.2999877929688,3231092,0.0,0.0
2025-08-22 00:00:00+05:30,708.0,709.5999755859375,701.5499877929688,704.2000122070312,5623045,0.0,0.0
2025-08-25 00:00:00+05:30,708.0,720.9000244140625,707.5499877929688,715.8499755859375,4539337,0.0,0.0
2025-08-26 00:00:00+05:30,714.0,714.0,701.25,705.7000122070312,5229246,0.0,0.0
2025-08-27 00:00:00+05:30,705.7000122070312,705.7000122070312,705.7000122070312,705.7000122070312,0,0.0,0.0
2025-08-28 00:00:00+05:30,700.7999877929688,707.0,698.0999755859375,701.4000244140625,5620555,0.0,0.0
2025-08-29 00:00:00+05:30,701.0,708.75,697.0,703.9500122070312,5335149,0.0,0.0
2025-09-01 00:00:00+05:30,704.5,721.0,702.4000244140625,719.5999755859375,3771744,0.0,0.0
2025-09-02 00:00:00+05:30,720.0,726.0999755859375,714.2000122070312,720.9500122070312,4660894,0.0,0.0
2025-09-03 00:00:00+05:30,725.0,744.0,723.0999755859375,742.9500122070312,8986550,0.0,0.0
2025-09-04 00:00:00+05:30,744.0499877929688,745.0,737.2000122070312,739.0499877929688,3763325,0.0,0.0
2025-09-05 00:00:00+05:30,738.0,746.6500244140625,738.0,743.7999877929688,2778157,0.0,0.0
2025-09-08 00:00:00+05:30,745.0,749.8499755859375,737.4000244140625,738.75,2703395,0.0,0.0
2025-09-09 00:00:00+05:30,740.7000122070312,750.5499877929688,739.0,742.9000244140625,3393363,0.0,0.0
2025-09-10 00:00:00+05:30,745.0,749.7999877929688,741.0499877929688,743.1500244140625,3351988,0.0,0.0
2025-09-11 00:00:00+05:30,742.0,747.9500122070312,738.0,742.6500244140625,3756027,0.0,0.0
2025-09-12 00:00:00+05:30,748.9000244140625,759.5999755859375,745.1500244140625,758.0499877929688,5698959,0.0,0.0
2025-09-15 00:00:00+05:30,758.1500244140625,763.4000244140625,752.5999755859375,753.6500244140625,2554957,0.0,0.0
2025-09-16 00:00:00+05:30,754.4000244140625,757.2999877929688,749.1500244140625,755.9500122070312,2662690,0.0,0.0
2025-09-17 00:00:00+05:30,756.0,759.7000122070312,744.4000244140625,750.0999755859375,4182521,0.0,0.0
2025-09-18 00:00:00+05:30,746.3499755859375,751.4500122070312,736.25,750.1500244140625,4915450,0.0,0.0
2025-09-19 00:00:00+05:30,752.0,756.7999877929688,739.0,743.2999877929688,5132517,0.0,0.0
2025-09-22 00:00:00+05:30,743.2999877929688,752.5,741.5499877929688,745.7000122070312,2232330,0.0,0.0
2025-09-23 00:00:00+05:30,745.0,752.25,739.6500244140625,745.9000244140625,3783529,0.0,0.0
2025-09-24 00:00:00+05:30,744.0,748.9500122070312,737.7000122070312,741.0499877929688,2415165,0.0,0.0
2025-09-25 00:00:00+05:30,746.0,769.0999755859375,740.0499877929688,745.6500244140625,4702510,0.0,0.0
2025-09-26 00:00:00+05:30,745.9000244140625,749.5,731.9500122070312,743.8499755859375,3636265,0.0,0.0
